id,area_name,year,month,dis_name,case_num,death_num,ici_rate,mort_rate
55,海南省,2005,1,HIV,140,7,1.5496,0.07748
56,重庆市,2005,1,HIV,195,46,0.651847826,0.153769231
57,四川省,2005,1,HIV,1086,158,1.334113116,0.194097488
58,贵州省,2005,1,HIV,413,63,1.177319582,0.179591123
59,云南省,2005,1,HIV,542,88,1.149767642,0.186678141
60,西    藏,2005,1,HIV,17,8,0.535358333,0.251933333
61,陕西省,2005,1,HIV,137,8,0.362939516,0.021193548
62,甘肃省,2005,1,HIV,100,10,0.385970149,0.038597015
63,青海省,2005,1,HIV,91,8,1.56,0.137142857
64,宁    夏,2005,1,HIV,64,7,0.967348148,0.105803704
65,新疆,2005,1,HIV,333,29,1.448744737,0.126166959
66,建设兵团,2005,1,HIV,9,5,0.32931,0.18295
67,全    国,2005,2,艾滋病,2816,1048,0.206259102,0.0767612
68,北京市,2005,2,艾滋病,28,2,0.130110638,0.009293617
69,天津市,2005,2,艾滋病,57,0,0.375725,0
70,河北省,2005,2,艾滋病,51,16,0.0690625,0.021666667
71,山西省,2005,2,艾滋病,6,8,0.016457143,0.021942857
72,内蒙古,2005,2,艾滋病,9,16,0.035930769,0.063876923
73,辽宁省,2005,2,艾滋病,40,21,0.091085714,0.04782
74,吉林省,2005,2,艾滋病,15,3,0.054517241,0.010903448
75,黑龙江省,2005,2,艾滋病,20,16,0.052166667,0.041733333
76,上海市,2005,2,艾滋病,43,11,0.177212121,0.045333333
77,江苏省,2005,2,艾滋病,60,17,0.075391304,0.02136087
78,浙江省,2005,2,艾滋病,98,11,0.177968,0.019976
79,安徽省,2005,2,艾滋病,79,23,0.129946939,0.037832653
80,福建省,2005,2,艾滋病,42,14,0.110384615,0.036794872
81,江西省,2005,2,艾滋病,60,47,0.132077922,0.103461039
82,山东省,2005,2,艾滋病,6,1,0.006123529,0.001020588
83,河南省,2005,2,艾滋病,153,73,0.16218,0.07738
84,湖北省,2005,2,艾滋病,57,25,0.097982278,0.042974684
85,湖南省,2005,2,艾滋病,200,66,0.296808511,0.097946809
86,广东省,2005,2,艾滋病,243,27,0.22654786,0.025171984
87,广    西,2005,2,艾滋病,396,237,0.83298785,0.498530607
88,海南省,2005,2,艾滋病,32,7,0.354,0.0774375
89,重庆市,2005,2,艾滋病,116,35,0.387796923,0.117007692
90,四川省,2005,2,艾滋病,298,130,0.366114286,0.159714286
91,贵州省,2005,2,艾滋病,72,44,0.205266667,0.125440741
92,云南省,2005,2,艾滋病,350,98,0.742469512,0.207891463
93,西    藏,2005,2,艾滋病,15,16,0.4725,0.504
94,陕西省,2005,2,艾滋病,60,14,0.158923077,0.037082051
95,甘肃省,2005,2,艾滋病,35,13,0.134944444,0.050122222
96,青海省,2005,2,艾滋病,6,6,0.102825,0.102825
97,宁    夏,2005,2,艾滋病,13,3,0.19656,0.04536
98,新疆,2005,2,艾滋病,133,42,0.578657258,0.182733871
99,建设兵团,2005,2,艾滋病,23,6,0.8418,0.2196
100,全    国,2005,2,HIV,6127,768,0.448806612,0.056256484
101,北京市,2005,2,HIV,154,1,0.715768817,0.004647849
102,天津市,2005,2,HIV,13,5,0.085696,0.03296
103,河北省,2005,2,HIV,205,6,0.277581081,0.008124324
104,山西省,2005,2,HIV,12,6,0.032902326,0.016451163
105,内蒙古,2005,2,HIV,17,9,0.067874074,0.035933333
106,辽宁省,2005,2,HIV,158,3,0.359842932,0.006832461
107,吉林省,2005,2,HIV,119,14,0.432366667,0.050866667
108,黑龙江省,2005,2,HIV,95,8,0.247856557,0.020872131
109,上海市,2005,2,HIV,69,12,0.284458064,0.049470968
110,江苏省,2005,2,HIV,179,18,0.22486875,0.0226125
111,浙江省,2005,2,HIV,194,2,0.352215544,0.003631088
112,安徽省,2005,2,HIV,71,2,0.116755556,0.003288889
113,福建省,2005,2,HIV,57,12,0.149789423,0.031534615
114,江西省,2005,2,HIV,109,13,0.24001165,0.028625243
115,山东省,2005,2,HIV,104,15,0.106233557,0.015322148
116,河南省,2005,2,HIV,194,14,0.205553778,0.014833778
117,湖北省,2005,2,HIV,141,12,0.242429032,0.020632258
118,湖南省,2005,2,HIV,221,44,0.328062222,0.065315556
119,广东省,2005,2,HIV,428,38,0.399147047,0.035438289
120,广    西,2005,2,HIV,429,102,0.902382963,0.214552593
121,海南省,2005,2,HIV,88,6,0.974034286,0.066411429
122,重庆市,2005,2,HIV,338,36,1.129869565,0.120341137
123,四川省,2005,2,HIV,1116,159,1.37096707,0.195325953
124,贵州省,2005,2,HIV,425,57,1.211527415,0.162487206
125,云南省,2005,2,HIV,656,87,1.391600689,0.184556799
126,西    藏,2005,2,HIV,39,5,1.228175,0.157458333
127,陕西省,2005,2,HIV,110,22,0.29141129,0.058282258
128,甘肃省,2005,2,HIV,25,3,0.096492537,0.011579104
129,青海省,2005,2,HIV,51,7,0.874285714,0.12
130,宁    夏,2005,2,HIV,8,3,0.120918519,0.045344444
131,新疆,2005,2,HIV,300,32,1.305175438,0.139218713
132,建设兵团,2005,2,HIV,2,15,0.07318,0.54885
133,全    国,2005,3,艾滋病,2650,995,0.194100363,0.072879193
134,北京市,2005,3,艾滋病,34,16,0.157991489,0.074348936
135,天津市,2005,3,艾滋病,11,6,0.072508333,0.03955
136,河北省,2005,3,艾滋病,4,4,0.005416667,0.005416667
137,山西省,2005,3,艾滋病,24,3,0.065828571,0.008228571
138,内蒙古,2005,3,艾滋病,13,17,0.0519,0.067869231
139,辽宁省,2005,3,艾滋病,14,8,0.03188,0.018217143
140,吉林省,2005,3,艾滋病,47,8,0.17082069,0.029075862
141,黑龙江省,2005,3,艾滋病,29,9,0.075641667,0.023475
142,上海市,2005,3,艾滋病,30,4,0.123636364,0.016484848
143,江苏省,2005,3,艾滋病,65,2,0.081673913,0.002513043
144,浙江省,2005,3,艾滋病,105,27,0.19068,0.049032
145,安徽省,2005,3,艾滋病,43,14,0.070730612,0.023028571
146,福建省,2005,3,艾滋病,70,5,0.183974359,0.013141026
147,江西省,2005,3,艾滋病,51,33,0.112266234,0.072642857
148,山东省,2005,3,艾滋病,33,10,0.033679412,0.010205882
149,河南省,2005,3,艾滋病,76,74,0.08056,0.07844
150,湖北省,2005,3,艾滋病,65,16,0.111734177,0.027503797
151,湖南省,2005,3,艾滋病,187,81,0.277515957,0.120207447
152,广东省,2005,3,艾滋病,222,48,0.20696965,0.044750195
153,广    西,2005,3,艾滋病,416,224,0.875057944,0.471185047
154,海南省,2005,3,艾滋病,14,8,0.154875,0.0885
155,重庆市,2005,3,艾滋病,108,14,0.361052308,0.046803077
156,四川省,2005,3,艾滋病,334,107,0.410342857,0.131457143
157,贵州省,2005,3,艾滋病,67,56,0.191012037,0.159651852
158,云南省,2005,3,艾滋病,300,117,0.636402439,0.248196951
159,西    藏,2005,3,艾滋病,16,10,0.504,0.315
160,陕西省,2005,3,艾滋病,1,6,0.002648718,0.015892308
161,甘肃省,2005,3,艾滋病,9,5,0.0347,0.019277778
162,青海省,2005,3,艾滋病,22,5,0.377025,0.0856875
163,宁    夏,2005,3,艾滋病,55,2,0.8316,0.03024
164,新疆,2005,3,艾滋病,165,42,0.717883065,0.182733871
165,建设兵团,2005,3,艾滋病,20,14,0.732,0.5124
166,全    国,2005,3,HIV,6686,764,0.489753714,0.055963482
167,北京市,2005,3,HIV,175,9,0.813373656,0.041830645
168,天津市,2005,3,HIV,38,0,0.250496,0
169,河北省,2005,3,HIV,115,12,0.155716216,0.016248649
170,山西省,2005,3,HIV,102,4,0.279669767,0.010967442
171,内蒙古,2005,3,HIV,101,3,0.403251852,0.011977778
172,辽宁省,2005,3,HIV,155,13,0.353010471,0.02960733
173,吉林省,2005,3,HIV,67,10,0.243433333,0.036333333
174,黑龙江省,2005,3,HIV,34,4,0.088706557,0.010436066
175,上海市,2005,3,HIV,97,8,0.399890323,0.032980645
176,江苏省,2005,3,HIV,263,5,0.33039375,0.00628125
177,浙江省,2005,3,HIV,304,8,0.551925389,0.014524352
178,安徽省,2005,3,HIV,99,9,0.1628,0.0148
179,福建省,2005,3,HIV,104,4,0.2733,0.010511538
180,江西省,2005,3,HIV,144,17,0.317079612,0.03743301
181,山东省,2005,3,HIV,160,11,0.163436242,0.011236242
182,河南省,2005,3,HIV,229,20,0.242638222,0.021191111
183,湖北省,2005,3,HIV,193,12,0.331835484,0.020632258
184,湖南省,2005,3,HIV,223,67,0.331031111,0.099457778
185,广东省,2005,3,HIV,518,30,0.483079837,0.027977597
186,广    西,2005,3,HIV,381,91,0.801417037,0.191414568
187,海南省,2005,3,HIV,95,8,1.051514286,0.088548571
188,重庆市,2005,3,HIV,308,33,1.029585284,0.110312709
189,四川省,2005,3,HIV,1076,158,1.321828465,0.194097488
190,贵州省,2005,3,HIV,423,59,1.20582611,0.168188512
191,云南省,2005,3,HIV,524,92,1.111583477,0.195163511
192,西    藏,2005,3,HIV,50,4,1.574583333,0.125966667
193,陕西省,2005,3,HIV,183,17,0.484802419,0.04503629
194,甘肃省,2005,3,HIV,78,10,0.301056716,0.038597015
195,青海省,2005,3,HIV,7,1,0.12,0.017142857
196,宁    夏,2005,3,HIV,74,3,1.118496296,0.045344444
197,新疆,2005,3,HIV,328,28,1.426991813,0.121816374
198,建设兵团,2005,3,HIV,38,14,1.39042,0.51226
199,全    国,2005,4,艾滋病,2919,1034,0.213803381,0.075735764
200,北京市,2005,4,艾滋病,37,14,0.171931915,0.065055319
201,天津市,2005,4,艾滋病,21,1,0.138425,0.006591667
202,河北省,2005,4,艾滋病,23,8,0.031145833,0.010833333
203,山西省,2005,4,艾滋病,6,1,0.016457143,0.002742857
204,内蒙古,2005,4,艾滋病,17,21,0.067869231,0.083838462
205,辽宁省,2005,4,艾滋病,55,25,0.125242857,0.056928571
206,吉林省,2005,4,艾滋病,58,16,0.2108,0.058151724
207,黑龙江省,2005,4,艾滋病,23,11,0.059991667,0.028691667
208,上海市,2005,4,艾滋病,21,9,0.086545455,0.037090909
209,江苏省,2005,4,艾滋病,57,24,0.071621739,0.030156522
210,浙江省,2005,4,艾滋病,151,4,0.274216,0.007264
211,安徽省,2005,4,艾滋病,47,3,0.077310204,0.004934694
212,福建省,2005,4,艾滋病,67,17,0.176089744,0.044679487
213,江西省,2005,4,艾滋病,73,49,0.160694805,0.107863636
214,山东省,2005,4,艾滋病,41,15,0.041844118,0.015308824
215,河南省,2005,4,艾滋病,120,61,0.1272,0.06466
216,湖北省,2005,4,艾滋病,67,28,0.115172152,0.048131646
217,湖南省,2005,4,艾滋病,230,73,0.341329787,0.108335106
218,广东省,2005,4,艾滋病,257,33,0.2396,0.030765759
219,广    西,2005,4,艾滋病,407,227,0.856126402,0.477495561
220,海南省,2005,4,艾滋病,10,8,0.110625,0.0885
221,重庆市,2005,4,艾滋病,100,31,0.334307692,0.103635385
222,四川省,2005,4,艾滋病,320,103,0.393142857,0.126542857
223,贵州省,2005,4,艾滋病,77,45,0.219521296,0.128291667
224,云南省,2005,4,艾滋病,328,113,0.6958,0.239711585
225,西    藏,2005,4,艾滋病,20,1,0.63,0.0315
226,陕西省,2005,4,艾滋病,68,0,0.180112821,0
227,甘肃省,2005,4,艾滋病,24,17,0.092533333,0.065544444
228,青海省,2005,4,艾滋病,39,2,0.6683625,0.034275
229,宁    夏,2005,4,艾滋病,27,14,0.40824,0.21168
230,新疆,2005,4,艾滋病,111,37,0.482939516,0.160979839
231,建设兵团,2005,4,艾滋病,17,23,0.6222,0.8418
232,全    国,2005,4,HIV,6648,738,0.48697019,0.054058965
233,北京市,2005,4,HIV,204,6,0.94816129,0.027887097
234,天津市,2005,4,HIV,11,22,0.072512,0.145024
235,河北省,2005,4,HIV,23,8,0.031143243,0.010832432
236,山西省,2005,4,HIV,55,18,0.150802326,0.049353488
237,内蒙古,2005,4,HIV,62,7,0.247540741,0.027948148
238,辽宁省,2005,4,HIV,227,18,0.516989529,0.040994764
239,吉林省,2005,4,HIV,60,0,0.218,0
240,黑龙江省,2005,4,HIV,112,1,0.292209836,0.002609016
241,上海市,2005,4,HIV,112,3,0.461729032,0.012367742
242,江苏省,2005,4,HIV,248,0,0.31155,0
243,浙江省,2005,4,HIV,167,9,0.303195855,0.016339896
244,安徽省,2005,4,HIV,116,11,0.190755556,0.018088889
245,福建省,2005,4,HIV,97,2,0.254904808,0.005255769
246,江西省,2005,4,HIV,160,23,0.35231068,0.05064466
247,山东省,2005,4,HIV,148,12,0.151178523,0.012257718
248,河南省,2005,4,HIV,317,4,0.335879111,0.004238222
249,湖北省,2005,4,HIV,195,13,0.335274194,0.022351613
250,湖南省,2005,4,HIV,311,56,0.461662222,0.083128889
251,广东省,2005,4,HIV,529,32,0.493338289,0.02984277
252,广    西,2005,4,HIV,492,101,1.034900741,0.212449136
253,海南省,2005,4,HIV,20,7,0.221371429,0.07748
254,重庆市,2005,4,HIV,334,39,1.116498328,0.130369565
255,四川省,2005,4,HIV,1074,164,1.319371535,0.201468279
256,贵州省,2005,4,HIV,378,56,1.077546736,0.159636554
257,云南省,2005,4,HIV,540,81,1.145524957,0.171828744
258,西    藏,2005,4,HIV,84,1,2.6453,0.031491667
259,陕西省,2005,4,HIV,108,8,0.286112903,0.021193548
260,甘肃省,2005,4,HIV,34,4,0.131229851,0.015438806
261,青海省,2005,4,HIV,10,0,0.171428571,0
262,宁    夏,2005,4,HIV,38,2,0.574362963,0.03022963
263,新疆,2005,4,HIV,358,22,1.557509356,0.095712865
264,建设兵团,2005,4,HIV,24,8,0.87816,0.29272
265,全    国,2005,5,艾滋病,3134,1056,0.229551146,0.077347163
266,北京市,2005,5,艾滋病,87,1,0.40427234,0.004646809
267,天津市,2005,5,艾滋病,32,0,0.210933333,0
268,河北省,2005,5,艾滋病,46,6,0.062291667,0.008125
269,山西省,2005,5,艾滋病,2,18,0.005485714,0.049371429
270,内蒙古,2005,5,艾滋病,26,0,0.1038,0
271,辽宁省,2005,5,艾滋病,65,19,0.148014286,0.043265714
272,吉林省,2005,5,艾滋病,31,12,0.112668966,0.043613793
273,黑龙江省,2005,5,艾滋病,50,20,0.130416667,0.052166667
274,上海市,2005,5,艾滋病,22,17,0.090666667,0.070060606
275,江苏省,2005,5,艾滋病,81,45,0.101778261,0.056543478
276,浙江省,2005,5,艾滋病,113,12,0.205208,0.021792
277,安徽省,2005,5,艾滋病,83,11,0.136526531,0.018093878
278,福建省,2005,5,艾滋病,62,2,0.162948718,0.00525641
279,江西省,2005,5,艾滋病,40,53,0.088051948,0.116668831
280,山东省,2005,5,艾滋病,48,11,0.048988235,0.011226471
281,河南省,2005,5,艾滋病,128,63,0.13568,0.06678
282,湖北省,2005,5,艾滋病,77,29,0.132362025,0.049850633
283,湖南省,2005,5,艾滋病,223,63,0.330941489,0.093494681
284,广东省,2005,5,艾滋病,241,39,0.224683268,0.036359533
285,广    西,2005,5,艾滋病,434,218,0.912921028,0.458564019
286,海南省,2005,5,艾滋病,47,12,0.5199375,0.13275
287,重庆市,2005,5,艾滋病,127,39,0.424570769,0.13038
288,四川省,2005,5,艾滋病,313,111,0.384542857,0.136371429
289,贵州省,2005,5,艾滋病,131,39,0.373471296,0.111186111
290,云南省,2005,5,艾滋病,361,110,0.765804268,0.233347561
291,西    藏,2005,5,艾滋病,13,8,0.4095,0.252
292,陕西省,2005,5,艾滋病,45,14,0.119192308,0.037082051
293,甘肃省,2005,5,艾滋病,29,21,0.111811111,0.080966667
294,青海省,2005,5,艾滋病,44,7,0.75405,0.1199625
295,宁    夏,2005,5,艾滋病,11,17,0.16632,0.25704
296,新疆,2005,5,艾滋病,96,30,0.417677419,0.130524194
297,建设兵团,2005,5,艾滋病,26,9,0.9516,0.3294
298,全    国,2005,5,HIV,6569,718,0.48118339,0.052593953
299,北京市,2005,5,HIV,265,8,1.231680107,0.037182796
300,天津市,2005,5,HIV,55,8,0.36256,0.052736
301,河北省,2005,5,HIV,156,7,0.211232432,0.009478378
302,山西省,2005,5,HIV,56,2,0.153544186,0.005483721
303,内蒙古,2005,5,HIV,113,7,0.451162963,0.027948148
304,辽宁省,2005,5,HIV,205,11,0.466884817,0.025052356
305,吉林省,2005,5,HIV,26,3,0.094466667,0.0109
306,黑龙江省,2005,5,HIV,114,3,0.297427869,0.007827049
307,上海市,2005,5,HIV,83,3,0.342174194,0.012367742
308,江苏省,2005,5,HIV,228,2,0.286425,0.0025125
309,浙江省,2005,5,HIV,236,5,0.428468394,0.00907772
310,安徽省,2005,5,HIV,88,10,0.144711111,0.016444444
311,福建省,2005,5,HIV,116,6,0.304834615,0.015767308
312,江西省,2005,5,HIV,149,0,0.32808932,0
313,山东省,2005,5,HIV,131,2,0.133813423,0.002042953
314,河南省,2005,5,HIV,183,23,0.193898667,0.024369778
315,湖北省,2005,5,HIV,212,8,0.364503226,0.013754839
316,湖南省,2005,5,HIV,271,50,0.402284444,0.074222222
317,广东省,2005,5,HIV,458,22,0.427124644,0.020516904
318,广    西,2005,5,HIV,371,99,0.780382469,0.208242222
319,海南省,2005,5,HIV,99,15,1.095788571,0.166028571
320,重庆市,2005,5,HIV,271,43,0.905901338,0.143740803
321,四川省,2005,5,HIV,1111,163,1.364824744,0.200239814
322,贵州省,2005,5,HIV,378,64,1.077546736,0.182441775
323,云南省,2005,5,HIV,554,92,1.175223752,0.195163511
324,西    藏,2005,5,HIV,57,2,1.795025,0.062983333
325,陕西省,2005,5,HIV,108,8,0.286112903,0.021193548
326,甘肃省,2005,5,HIV,87,5,0.33579403,0.019298507
327,青海省,2005,5,HIV,24,0,0.411428571,0
328,宁    夏,2005,5,HIV,7,7,0.105803704,0.105803704
329,新疆,2005,5,HIV,352,38,1.531405848,0.165322222
330,建设兵团,2005,5,HIV,5,2,0.18295,0.07318
331,全    国,2005,6,艾滋病,2839,979,0.207943747,0.071707266
332,北京市,2005,6,艾滋病,21,8,0.097582979,0.037174468
333,天津市,2005,6,艾滋病,16,24,0.105466667,0.1582
334,河北省,2005,6,艾滋病,43,15,0.058229167,0.0203125
335,山西省,2005,6,艾滋病,0,1,0,0.002742857
336,内蒙古,2005,6,艾滋病,1,4,0.003992308,0.015969231
337,辽宁省,2005,6,艾滋病,22,32,0.050097143,0.072868571
338,吉林省,2005,6,艾滋病,18,11,0.06542069,0.03997931
339,黑龙江省,2005,6,艾滋病,30,16,0.07825,0.041733333
340,上海市,2005,6,艾滋病,46,12,0.189575758,0.049454545
341,江苏省,2005,6,艾滋病,74,14,0.092982609,0.017591304
342,浙江省,2005,6,艾滋病,108,12,0.196128,0.021792
343,安徽省,2005,6,艾滋病,28,24,0.046057143,0.039477551
344,福建省,2005,6,艾滋病,73,2,0.191858974,0.00525641
345,江西省,2005,6,艾滋病,80,30,0.176103896,0.066038961
346,山东省,2005,6,艾滋病,8,7,0.008164706,0.007144118
347,河南省,2005,6,艾滋病,160,77,0.1696,0.08162
348,湖北省,2005,6,艾滋病,124,15,0.21315443,0.02578481
349,湖南省,2005,6,艾滋病,161,54,0.238930851,0.080138298
350,广东省,2005,6,艾滋病,259,30,0.241464591,0.027968872
351,广    西,2005,6,艾滋病,426,217,0.896092991,0.456460514
352,海南省,2005,6,艾滋病,12,7,0.13275,0.0774375
353,重庆市,2005,6,艾滋病,154,34,0.514833846,0.113664615
354,四川省,2005,6,艾滋病,327,111,0.401742857,0.136371429
355,贵州省,2005,6,艾滋病,66,52,0.188161111,0.148248148
356,云南省,2005,6,艾滋病,322,95,0.683071951,0.201527439
357,西    藏,2005,6,艾滋病,36,2,1.134,0.063
358,陕西省,2005,6,艾滋病,58,18,0.153625641,0.047676923
359,甘肃省,2005,6,艾滋病,2,4,0.007711111,0.015422222
360,青海省,2005,6,艾滋病,17,1,0.2913375,0.0171375
361,宁    夏,2005,6,艾滋病,11,1,0.16632,0.01512
362,新疆,2005,6,艾滋病,96,42,0.417677419,0.182733871
363,建设兵团,2005,6,艾滋病,40,7,1.464,0.2562
364,全    国,2005,6,HIV,6452,747,0.472613067,0.054718221
365,北京市,2005,6,HIV,268,6,1.245623656,0.027887097
366,天津市,2005,6,HIV,44,3,0.290048,0.019776
367,河北省,2005,6,HIV,18,16,0.024372973,0.021664865
368,山西省,2005,6,HIV,46,3,0.126125581,0.008225581
369,内蒙古,2005,6,HIV,53,9,0.211607407,0.035933333
370,辽宁省,2005,6,HIV,210,19,0.478272251,0.043272251
371,吉林省,2005,6,HIV,129,2,0.4687,0.007266667
372,黑龙江省,2005,6,HIV,133,2,0.34699918,0.005218033
373,上海市,2005,6,HIV,4,9,0.016490323,0.037103226
374,江苏省,2005,6,HIV,205,14,0.25753125,0.0175875
375,浙江省,2005,6,HIV,209,11,0.379448705,0.019970984
376,安徽省,2005,6,HIV,105,2,0.172666667,0.003288889
377,福建省,2005,6,HIV,92,10,0.241765385,0.026278846
378,江西省,2005,6,HIV,86,12,0.18936699,0.026423301
379,山东省,2005,6,HIV,219,6,0.223703356,0.006128859
380,河南省,2005,6,HIV,203,22,0.215089778,0.023310222
381,湖北省,2005,6,HIV,151,3,0.259622581,0.005158065
382,湖南省,2005,6,HIV,321,55,0.476506667,0.081644444
383,广东省,2005,6,HIV,499,30,0.465360693,0.027977597
384,广    西,2005,6,HIV,481,85,1.011762716,0.178793827
385,海南省,2005,6,HIV,89,2,0.985102857,0.022137143
386,重庆市,2005,6,HIV,285,54,0.952700669,0.180511706
387,四川省,2005,6,HIV,1084,149,1.331656186,0.183041302
388,贵州省,2005,6,HIV,336,59,0.957819321,0.168188512
389,云南省,2005,6,HIV,563,88,1.194315835,0.186678141
390,西    藏,2005,6,HIV,22,1,0.692816667,0.031491667
391,陕西省,2005,6,HIV,104,21,0.275516129,0.055633065
392,甘肃省,2005,6,HIV,64,6,0.247020895,0.023158209
393,青海省,2005,6,HIV,21,8,0.36,0.137142857
394,宁    夏,2005,6,HIV,53,6,0.801085185,0.090688889
395,新疆,2005,6,HIV,343,32,1.492250585,0.139218713
396,建设兵团,2005,6,HIV,12,2,0.43908,0.07318
397,全    国,2005,7,艾滋病,2758,978,0.202010868,0.071634021
398,北京市,2005,7,艾滋病,24,9,0.111523404,0.041821277
399,天津市,2005,7,艾滋病,17,11,0.112058333,0.072508333
400,河北省,2005,7,艾滋病,44,5,0.059583333,0.006770833
401,山西省,2005,7,艾滋病,23,0,0.063085714,0
402,内蒙古,2005,7,艾滋病,28,5,0.111784615,0.019961538
403,辽宁省,2005,7,艾滋病,57,14,0.129797143,0.03188
404,吉林省,2005,7,艾滋病,30,7,0.109034483,0.025441379
405,黑龙江省,2005,7,艾滋病,31,28,0.080858333,0.073033333
406,上海市,2005,7,艾滋病,42,4,0.173090909,0.016484848
407,江苏省,2005,7,艾滋病,54,18,0.067852174,0.022617391
408,浙江省,2005,7,艾滋病,69,12,0.125304,0.021792
409,安徽省,2005,7,艾滋病,3,6,0.004934694,0.009869388
410,福建省,2005,7,艾滋病,45,7,0.118269231,0.018397436
411,江西省,2005,7,艾滋病,48,21,0.105662338,0.046227273
412,山东省,2005,7,艾滋病,5,1,0.005102941,0.001020588
413,河南省,2005,7,艾滋病,156,70,0.16536,0.0742
414,湖北省,2005,7,艾滋病,61,10,0.104858228,0.017189873
415,湖南省,2005,7,艾滋病,148,65,0.219638298,0.096462766
416,广东省,2005,7,艾滋病,231,23,0.215360311,0.021442802
417,广    西,2005,7,艾滋病,460,236,0.967612149,0.496427103
418,海南省,2005,7,艾滋病,2,15,0.022125,0.1659375
419,重庆市,2005,7,艾滋病,121,31,0.404512308,0.103635385
420,四川省,2005,7,艾滋病,323,110,0.396828571,0.135142857
421,贵州省,2005,7,艾滋病,93,45,0.265136111,0.128291667
422,云南省,2005,7,艾滋病,350,117,0.742469512,0.248196951
423,西    藏,2005,7,艾滋病,23,1,0.7245,0.0315
424,陕西省,2005,7,艾滋病,48,35,0.127138462,0.092705128
425,甘肃省,2005,7,艾滋病,10,19,0.038555556,0.073255556
426,青海省,2005,7,艾滋病,28,4,0.47985,0.06855
427,宁    夏,2005,7,艾滋病,26,2,0.39312,0.03024
428,新疆,2005,7,艾滋病,144,46,0.626516129,0.200137097
429,建设兵团,2005,7,艾滋病,14,1,0.5124,0.0366
430,全    国,2005,7,HIV,6604,717,0.483747162,0.052520702
431,北京市,2005,7,HIV,253,11,1.175905914,0.051126344
